"BIC","delta","weights","L1_pop","min_dist11k","min_distCont","area","IE","model_id","Nparam"
12697.5588092035,0,0.537828261631653,"X"," ","X"," "," ",1,2
12699.650037754,2.09122855047281,0.189033645487188,"X"," ","X"," ","X",2,3
12700.522829502,2.96402029851743,0.122184126873062,"X","X"," "," ","X",3,3
12701.3735839524,3.81477474889289,0.0798501631972701,"X"," ","X","X"," ",4,3
12703.7323346399,6.17352543637207,0.0245515889391235,"X"," ","X","X","X",5,4
12704.5975549426,7.03874573910616,0.0159293994412142,"X","X"," ","X","X",6,4
12704.6462065717,7.08739736814459,0.015546578913085,"X","X","X"," "," ",7,3
12706.6410458015,9.08223659792748,0.00573404373039423,"X","X","X"," ","X",8,4
12706.6864180339,9.1276088303548,0.00560542499394794,"X"," "," "," ","X",9,2
12708.5007623051,10.9419531015756,0.00226270894139451,"X","X","X","X"," ",10,4
12710.719996779,13.161187575517,0.000745981487436438,"X","X","X","X","X",11,5
12710.7736989394,13.2148897358893,0.000726217606903844,"X"," "," ","X","X",12,3
12723.2635702303,25.7047610268055,1.40904766102888e-06,"X","X"," "," "," ",13,2
12726.3850536696,28.8262444660213,2.95872204001221e-07,"X","X"," ","X"," ",14,3
12728.8297732031,31.2709639995519,8.71445166183136e-08," "," ","X","X"," ",15,2
12730.740845326,33.1820361224691,3.35162967145089e-08," "," ","X","X","X",16,3
12731.6012751717,34.0424659682067,2.17979704484102e-08," ","X"," ","X","X",17,3
12735.2437896135,37.6849804100184,3.52739502709023e-09," "," ","X"," "," ",18,1
12735.8981436948,38.3393344912456,2.54309693796833e-09," ","X","X","X"," ",19,3
12736.5028795996,38.9440703960736,1.87951666899998e-09," "," ","X"," ","X",20,2
12737.3777470574,39.8189378539173,1.21358759082967e-09," ","X"," "," ","X",21,2
12737.7246046506,40.1657954470811,1.02035655233543e-09," ","X","X","X","X",22,4
12737.8165137023,40.2577044987611,9.74527638694761e-10," "," "," ","X","X",23,2
12742.2124282742,44.6536190706393,1.08201539493296e-10," ","X","X"," "," ",24,2
12743.4927165386,45.9339073350893,5.70456293385603e-11," ","X","X"," ","X",25,3
12743.574494015,46.015684811433,5.47601491507304e-11," "," "," "," ","X",26,1
12754.9391202295,57.3803110259232,1.86495087055383e-13," ","X"," ","X"," ",27,2
12762.9533784347,65.39456923117,3.39151184260604e-15," ","X"," "," "," ",28,1
12800.0941381767,102.535328973132,2.91997970588979e-23,"X"," "," "," "," ",29,1
12801.7470088218,104.188199618244,1.27780190964326e-23,"X"," "," ","X"," ",30,2
12832.6602511959,135.101441992365,2.47592931798767e-30," "," "," ","X"," ",31,1
13484.6247559901,787.065946786535,6.628951292741e-172," "," "," "," "," ",32,0
