"","BIC","delta","weights","L1_pop","min_dist11k","min_distCont","area","IE","model_id","Nparam"
"1",44789.2931639364,0,0.95632026731307,"X"," ","X","X","X",1,4
"2",44796.7120621376,7.41889820122014,0.0234212507976778,"X","X","X","X","X",2,5
"3",44797.0139518948,7.72078795846755,0.020139818702033,"X","X"," ","X","X",3,4
"4",44807.2907221247,17.9975581883482,0.000118163475276541,"X"," "," ","X","X",4,3
"5",44818.3177872931,29.0246233567668,4.76416153424895e-07,"X"," ","X","X"," ",5,3
"6",44824.3538255305,35.0606615941433,2.32957892531503e-08,"X","X","X","X"," ",6,4
"7",44891.2736938186,101.980529882225,6.85192601870557e-23,"X","X"," ","X"," ",7,3
"8",44997.1928770668,207.899713130384,6.85100459791114e-46,"X"," "," ","X"," ",8,2
"9",45871.1331278014,1081.839963865,1.15355964681823e-235,"X"," ","X"," ","X",9,3
"10",45878.5552090763,1089.26204513991,2.82069146500287e-237,"X","X","X"," ","X",10,4
"11",45878.636440333,1089.34327639668,2.708422675452e-237,"X","X"," "," ","X",11,3
"12",45888.4048568153,1099.11169287895,2.04895185411057e-239,"X"," "," "," ","X",12,2
"13",45914.1386474189,1124.84548348258,5.29066331236158e-245,"X"," ","X"," "," ",13,2
"14",45919.4814625833,1130.18829864689,3.65874846216102e-246,"X","X","X"," "," ",14,3
"15",46000.7568318224,1211.463667886,8.21505291752903e-264,"X","X"," "," "," ",15,2
"16",46122.6906701208,1333.39750618442,2.7353556437028e-290,"X"," "," "," "," ",16,1
"17",46324.0464020557,1534.75323811937,0," "," ","X","X","X",17,3
"18",46331.4561980659,1542.16303412957,0," ","X","X","X","X",18,4
"19",46331.9128029671,1542.61963903073,0," ","X"," ","X","X",19,3
"20",46342.6787724532,1553.38560851685,0," "," "," ","X","X",20,2
"21",46358.2661993433,1568.97303540695,0," "," ","X","X"," ",21,2
"22",46364.0870129781,1574.79384904169,0," ","X","X","X"," ",22,3
"23",46437.5242243744,1648.23106043806,0," ","X"," ","X"," ",23,2
"24",46552.4043307579,1763.11116682153,0," "," "," ","X"," ",24,1
"25",48376.1810440575,3586.88788012115,0," "," ","X"," ","X",25,2
"26",48383.5919814441,3594.29881750776,0," ","X","X"," ","X",26,3
"27",48383.7811558896,3594.48799195325,0," ","X"," "," ","X",27,2
"28",48393.9842586356,3604.6910946992,0," "," "," "," ","X",28,1
"29",48432.7001905955,3643.40702665911,0," "," ","X"," "," ",29,1
"30",48437.4525819406,3648.15941800419,0," ","X","X"," "," ",30,2
"31",48533.1639369774,3743.87077304104,0," ","X"," "," "," ",31,1
"32",51654.7978404109,6865.50467647451,0," "," "," "," "," ",32,0
